pillar,period,pain_point,count
skincare,2021-07-26,Compatibility,3
skincare,2021-08-02,Price,4
skincare,2021-08-02,Packaging,7
skincare,2021-08-02,Quality,7
skincare,2021-08-02,Availability,0
skincare,2021-08-02,Sustainability,0
skincare,2021-08-02,Compatibility,20
skincare,2021-08-09,Price,0
skincare,2021-08-09,Packaging,1
skincare,2021-08-09,Quality,3
skincare,2021-08-09,Availability,1
skincare,2021-08-09,Sustainability,1
skincare,2021-08-09,Compatibility,19
skincare,2021-08-16,Price,0
skincare,2021-08-16,Packaging,0
skincare,2021-08-16,Quality,6
skincare,2021-08-16,Availability,1
skincare,2021-08-16,Sustainability,0
skincare,2021-08-16,Compatibility,7
skincare,2021-08-23,Price,2
skincare,2021-08-23,Packaging,1
skincare,2021-08-23,Quality,1
skincare,2021-08-23,Availability,0
skincare,2021-08-23,Sustainability,0
skincare,2021-08-23,Compatibility,16
skincare,2021-08-30,Price,1
skincare,2021-08-30,Packaging,0
skincare,2021-08-30,Quality,2
skincare,2021-08-30,Availability,0
skincare,2021-08-30,Sustainability,2
skincare,2021-08-30,Compatibility,9
skincare,2021-09-06,Price,2
skincare,2021-09-06,Packaging,0
skincare,2021-09-06,Quality,5
skincare,2021-09-06,Availability,0
skincare,2021-09-06,Sustainability,0
skincare,2021-09-06,Compatibility,11
skincare,2021-09-13,Price,0
skincare,2021-09-13,Packaging,0
skincare,2021-09-13,Quality,9
skincare,2021-09-13,Availability,0
skincare,2021-09-13,Sustainability,0
skincare,2021-09-13,Compatibility,14
skincare,2021-09-20,Price,0
skincare,2021-09-20,Packaging,0
skincare,2021-09-20,Quality,7
skincare,2021-09-20,Availability,1
skincare,2021-09-20,Sustainability,0
skincare,2021-09-20,Compatibility,34
skincare,2021-09-27,Price,0
skincare,2021-09-27,Packaging,1
skincare,2021-09-27,Quality,1
skincare,2021-09-27,Availability,0
skincare,2021-09-27,Sustainability,0
skincare,2021-09-27,Compatibility,7
skincare,2021-10-04,Price,0
skincare,2021-10-04,Packaging,0
skincare,2021-10-04,Quality,4
skincare,2021-10-04,Availability,0
skincare,2021-10-04,Sustainability,0
skincare,2021-10-04,Compatibility,9
skincare,2021-10-11,Price,1
skincare,2021-10-11,Packaging,0
skincare,2021-10-11,Quality,2
skincare,2021-10-11,Availability,0
skincare,2021-10-11,Sustainability,0
skincare,2021-10-11,Compatibility,5
skincare,2021-10-18,Price,1
skincare,2021-10-18,Packaging,0
skincare,2021-10-18,Quality,7
skincare,2021-10-18,Availability,0
skincare,2021-10-18,Sustainability,1
skincare,2021-10-18,Compatibility,19
skincare,2021-10-25,Price,0
skincare,2021-10-25,Packaging,1
skincare,2021-10-25,Quality,2
skincare,2021-10-25,Availability,0
skincare,2021-10-25,Sustainability,0
skincare,2021-10-25,Compatibility,5
skincare,2021-11-01,Price,0
skincare,2021-11-01,Packaging,1
skincare,2021-11-01,Quality,4
skincare,2021-11-01,Availability,0
skincare,2021-11-01,Sustainability,0
skincare,2021-11-01,Compatibility,14
skincare,2021-11-08,Price,2
skincare,2021-11-08,Packaging,1
skincare,2021-11-08,Quality,3
skincare,2021-11-08,Availability,0
skincare,2021-11-08,Sustainability,2
skincare,2021-11-08,Compatibility,14
skincare,2021-11-15,Price,1
skincare,2021-11-15,Packaging,0
skincare,2021-11-15,Quality,4
skincare,2021-11-15,Availability,0
skincare,2021-11-15,Sustainability,0
skincare,2021-11-15,Compatibility,10
skincare,2021-11-22,Price,0
skincare,2021-11-22,Packaging,1
skincare,2021-11-22,Quality,2
skincare,2021-11-22,Availability,0
skincare,2021-11-22,Sustainability,0
skincare,2021-11-22,Compatibility,11
skincare,2021-11-29,Price,0
skincare,2021-11-29,Packaging,0
skincare,2021-11-29,Quality,0
skincare,2021-11-29,Availability,0
skincare,2021-11-29,Sustainability,0
skincare,2021-11-29,Compatibility,5
skincare,2021-12-06,Price,0
skincare,2021-12-06,Packaging,0
skincare,2021-12-06,Quality,1
skincare,2021-12-06,Availability,0
skincare,2021-12-06,Sustainability,0
skincare,2021-12-06,Compatibility,10
skincare,2021-12-13,Price,1
skincare,2021-12-13,Packaging,0
skincare,2021-12-13,Quality,4
skincare,2021-12-13,Availability,0
skincare,2021-12-13,Sustainability,0
skincare,2021-12-13,Compatibility,11
skincare,2021-12-20,Price,0
skincare,2021-12-20,Packaging,0
skincare,2021-12-20,Quality,0
skincare,2021-12-20,Availability,0
skincare,2021-12-20,Sustainability,0
skincare,2021-12-20,Compatibility,6
skincare,2021-12-27,Price,0
skincare,2021-12-27,Packaging,0
skincare,2021-12-27,Quality,3
skincare,2021-12-27,Availability,0
skincare,2021-12-27,Sustainability,0
skincare,2021-12-27,Compatibility,6
skincare,2022-01-03,Price,0
skincare,2022-01-03,Packaging,0
skincare,2022-01-03,Quality,5
skincare,2022-01-03,Availability,0
skincare,2022-01-03,Sustainability,0
skincare,2022-01-03,Compatibility,7
skincare,2022-01-10,Price,0
skincare,2022-01-10,Packaging,0
skincare,2022-01-10,Quality,1
skincare,2022-01-10,Availability,0
skincare,2022-01-10,Sustainability,0
skincare,2022-01-10,Compatibility,8
skincare,2022-01-17,Price,1
skincare,2022-01-17,Packaging,3
skincare,2022-01-17,Quality,4
skincare,2022-01-17,Availability,0
skincare,2022-01-17,Sustainability,0
skincare,2022-01-17,Compatibility,15
skincare,2022-01-24,Price,0
skincare,2022-01-24,Packaging,3
skincare,2022-01-24,Quality,7
skincare,2022-01-24,Availability,1
skincare,2022-01-24,Sustainability,1
skincare,2022-01-24,Compatibility,11
skincare,2022-01-31,Price,0
skincare,2022-01-31,Packaging,1
skincare,2022-01-31,Quality,0
skincare,2022-01-31,Availability,1
skincare,2022-01-31,Sustainability,0
skincare,2022-01-31,Compatibility,12
skincare,2022-02-07,Price,0
skincare,2022-02-07,Packaging,0
skincare,2022-02-07,Quality,4
skincare,2022-02-07,Availability,0
skincare,2022-02-07,Sustainability,0
skincare,2022-02-07,Compatibility,11
skincare,2022-02-14,Price,0
skincare,2022-02-14,Packaging,0
skincare,2022-02-14,Quality,5
skincare,2022-02-14,Availability,0
skincare,2022-02-14,Sustainability,0
skincare,2022-02-14,Compatibility,8
skincare,2022-02-21,Price,0
skincare,2022-02-21,Packaging,0
skincare,2022-02-21,Quality,1
skincare,2022-02-21,Availability,0
skincare,2022-02-21,Sustainability,0
skincare,2022-02-21,Compatibility,9
skincare,2022-02-28,Price,1
skincare,2022-02-28,Packaging,0
skincare,2022-02-28,Quality,2
skincare,2022-02-28,Availability,0
skincare,2022-02-28,Sustainability,0
skincare,2022-02-28,Compatibility,8
skincare,2022-03-07,Price,0
skincare,2022-03-07,Packaging,0
skincare,2022-03-07,Quality,1
skincare,2022-03-07,Availability,0
skincare,2022-03-07,Sustainability,0
skincare,2022-03-07,Compatibility,10
skincare,2022-03-14,Price,0
skincare,2022-03-14,Packaging,0
skincare,2022-03-14,Quality,3
skincare,2022-03-14,Availability,0
skincare,2022-03-14,Sustainability,0
skincare,2022-03-14,Compatibility,8
skincare,2022-03-21,Price,0
skincare,2022-03-21,Packaging,0
skincare,2022-03-21,Quality,2
skincare,2022-03-21,Availability,0
skincare,2022-03-21,Sustainability,0
skincare,2022-03-21,Compatibility,9
skincare,2022-03-28,Price,0
skincare,2022-03-28,Packaging,0
skincare,2022-03-28,Quality,1
skincare,2022-03-28,Availability,0
skincare,2022-03-28,Sustainability,0
skincare,2022-03-28,Compatibility,9
skincare,2022-04-04,Price,0
skincare,2022-04-04,Packaging,2
skincare,2022-04-04,Quality,6
skincare,2022-04-04,Availability,0
skincare,2022-04-04,Sustainability,0
skincare,2022-04-04,Compatibility,9
skincare,2022-04-11,Price,1
skincare,2022-04-11,Packaging,0
skincare,2022-04-11,Quality,3
skincare,2022-04-11,Availability,0
skincare,2022-04-11,Sustainability,0
skincare,2022-04-11,Compatibility,13
skincare,2022-04-18,Price,0
skincare,2022-04-18,Packaging,1
skincare,2022-04-18,Quality,0
skincare,2022-04-18,Availability,0
skincare,2022-04-18,Sustainability,0
skincare,2022-04-18,Compatibility,3
skincare,2022-04-25,Price,2
skincare,2022-04-25,Packaging,1
skincare,2022-04-25,Quality,2
skincare,2022-04-25,Availability,0
skincare,2022-04-25,Sustainability,0
skincare,2022-04-25,Compatibility,5
skincare,2022-05-02,Price,0
skincare,2022-05-02,Packaging,0
skincare,2022-05-02,Quality,2
skincare,2022-05-02,Availability,0
skincare,2022-05-02,Sustainability,0
skincare,2022-05-02,Compatibility,7
skincare,2022-05-09,Price,0
skincare,2022-05-09,Packaging,1
skincare,2022-05-09,Quality,1
skincare,2022-05-09,Availability,0
skincare,2022-05-09,Sustainability,0
skincare,2022-05-09,Compatibility,7
skincare,2022-05-16,Price,0
skincare,2022-05-16,Packaging,0
skincare,2022-05-16,Quality,3
skincare,2022-05-16,Availability,0
skincare,2022-05-16,Sustainability,0
skincare,2022-05-16,Compatibility,7
skincare,2022-05-23,Price,2
skincare,2022-05-23,Packaging,1
skincare,2022-05-23,Quality,4
skincare,2022-05-23,Availability,0
skincare,2022-05-23,Sustainability,1
skincare,2022-05-23,Compatibility,7
skincare,2022-05-30,Price,0
skincare,2022-05-30,Packaging,0
skincare,2022-05-30,Quality,1
skincare,2022-05-30,Availability,0
skincare,2022-05-30,Sustainability,0
skincare,2022-05-30,Compatibility,6
skincare,2022-06-06,Price,1
skincare,2022-06-06,Packaging,1
skincare,2022-06-06,Quality,4
skincare,2022-06-06,Availability,0
skincare,2022-06-06,Sustainability,0
skincare,2022-06-06,Compatibility,6
skincare,2022-06-13,Price,0
skincare,2022-06-13,Packaging,0
skincare,2022-06-13,Quality,2
skincare,2022-06-13,Availability,0
skincare,2022-06-13,Sustainability,0
skincare,2022-06-13,Compatibility,7
skincare,2022-06-20,Price,1
skincare,2022-06-20,Packaging,0
skincare,2022-06-20,Quality,3
skincare,2022-06-20,Availability,0
skincare,2022-06-20,Sustainability,1
skincare,2022-06-20,Compatibility,3
skincare,2022-06-27,Price,0
skincare,2022-06-27,Packaging,0
skincare,2022-06-27,Quality,2
skincare,2022-06-27,Availability,1
skincare,2022-06-27,Sustainability,1
skincare,2022-06-27,Compatibility,9
skincare,2022-07-04,Price,0
skincare,2022-07-04,Packaging,0
skincare,2022-07-04,Quality,2
skincare,2022-07-04,Availability,0
skincare,2022-07-04,Sustainability,0
skincare,2022-07-04,Compatibility,5
skincare,2022-07-11,Price,0
skincare,2022-07-11,Packaging,0
skincare,2022-07-11,Quality,2
skincare,2022-07-11,Availability,0
skincare,2022-07-11,Sustainability,0
skincare,2022-07-11,Compatibility,3
skincare,2022-07-18,Price,0
skincare,2022-07-18,Packaging,0
