pillar,term,period,share,count,trend_score
skincare,youtubers,2024-05-01,0.0,0,0.0
skincare,youtubers,2024-06-01,0.0,0,0.0
skincare,youtubers,2024-07-01,0.0,0,0.0
skincare,youtubers,2024-08-01,0.0,0,0.0
skincare,youtubers,2024-09-01,0.0,0,0.0
skincare,youtubers,2024-10-01,0.0,0,0.0
skincare,youtubers,2024-11-01,0.0,0,0.0
skincare,youtubers,2024-12-01,0.0,0,0.0
skincare,youtubers,2025-01-01,0.0,0,0.0
skincare,youtubers,2025-02-01,0.0,0,0.0
skincare,youtubers,2025-03-01,0.0,0,0.0
skincare,youtubers,2025-04-01,0.0,0,0.0
skincare,youtubers,2025-05-01,0.0,0,0.0
skincare,youtubers,2025-06-01,0.0,0,0.0
skincare,youtubers,2025-07-01,0.0,0,0.0
skincare,youtuber,2020-01-01,0.0,0,
skincare,youtuber,2020-02-01,0.0,0,0.0
skincare,youtuber,2020-03-01,0.0,0,0.0
skincare,youtuber,2020-04-01,0.0,0,0.0
skincare,youtuber,2020-05-01,0.0,0,0.0
skincare,youtuber,2020-06-01,0.0,0,0.0
skincare,youtuber,2020-07-01,0.0,0,0.0
skincare,youtuber,2020-08-01,0.0,0,0.0
skincare,youtuber,2020-09-01,0.0,0,0.0
skincare,youtuber,2020-10-01,0.0,0,0.0
skincare,youtuber,2020-11-01,0.0,0,0.0
skincare,youtuber,2020-12-01,0.0,0,0.0
